"","Species","Min_Altitude","Max_Altitude","Avg_Altitude","SpeciesAverageCover","NumberOfSites","AltitudeRange"
"445","Fallopia.convolvulus..L...Á..Löve",953.2,953.2,953.2,0.1,1,0
"446","Geranium.rotundifolium.L.",614.1,953.2,746.666666666667,0.1,3,339.1
"447","Impatiens.noli.tangere.L.",953.2,953.2,953.2,0.1,1,0
"448","Polygonum.aviculare.L.",953.2,953.2,953.2,0.1,1,0
"449","Polygonum.persicaria.L.",953.2,953.2,953.2,0.1,1,0
"450","Salix.herbacea.L.",1989.9,2330.2,2096.95,1.975,8,340.3
"451","Arnica.montana.L.",1605.5,2003.2,1804.35,2.05,2,397.7
"452","Carex.atrata.L.",2003.2,2003.2,2003.2,0.1,1,0
"453","Ligusticum.mutellinoides.Vill.",1985.1,2736.2,2113.45,0.314285714285714,14,751.1
"454","Veronica.aphylla.L.",1963.2,2736.2,2214.41363636364,0.118181818181818,22,773
"455","Arenaria.ciliata.aggr.",1745.8,2390.6,2088.2375,0.125,16,644.8
"456","Daphne.striata.Tratt.",1689.1,2352.9,2080.27777777778,1.10555555555556,54,663.8
"457","Festuca.quadriflora.Honck.",1878.8,2736.2,2205.07868852459,3.9327868852459,61,857.4
"458","Myosotis.sylvatica.aggr.",672.7,2043.6,1739.68333333333,0.483333333333333,6,1370.9
"459","Carex.capillaris.L.",1985.1,1985.1,1985.1,0.1,1,0
"460","Primula.integrifolia.L.",1985.1,2427,2167.68,0.646666666666667,15,441.9
"461","Rhododendron.ferrugineum.L.",1879.9,2044.1,1985.6,4.025,4,164.2
"462","Dactylorhiza.maculata..L...Soó",1520,1588,1554,0.1,2,68
"463","Hieracium.lachenalii.C..C..Gmel.",1538.9,2003.6,1735.73333333333,2.4,3,464.7
"464","Ajuga.pyramidalis.L.",1581.6,2115.2,1854.94,0.26,5,533.6
"465","Globularia.nudicaulis.L.",1581.6,2348.5,2024.30344827586,6.6448275862069,29,766.9
"466","Valeriana.montana.L.",1327.4,2233.3,1858.26551724138,0.982758620689655,29,905.9
"467","Carlina.vulgaris.aggr.",981.1,2041,1471.28571428571,0.4,7,1059.9
"468","Erigeron.alpinus.L.",1900.6,2115.2,2017.625,0.15,8,214.6
"469","Gentiana.clusii.E..P..Perrier...Songeon",1470.1,2427,2116.93770491803,0.778688524590164,61,956.9
"470","Hieracium.villosum.aggr.",1711.6,2481.2,2120.39459459459,0.313513513513514,37,769.6
"471","Thalictrum.minus.L.",1494.8,1960.1,1670.2,1.36666666666667,3,465.3
"472","Phleum.rhaeticum..Humphries..Rauschert",1581.6,1977.2,1721.12,1.4,5,395.6
"473","Festuca.violacea.aggr.",1860.6,2499.4,2111.275,0.675,4,638.8
"474","Rumex",1406.3,1406.3,1406.3,0.5,1,0
"475","Sedum.sexangulare.L.",1406.3,1406.3,1406.3,0.1,1,0
"476","Viola.tricolor.L.",1406.3,1406.3,1406.3,1,1,0
"477","Centaurea.montana.L.",1403.2,1869.4,1629.41428571429,0.657142857142857,7,466.2
"478","Phyteuma.betonicifolium.Vill.",1391.5,1558.6,1475.05,0.5,2,167.1
"479","Cardamine.pratensis.aggr.",1320.5,1397.2,1361.73333333333,0.1,3,76.7
"480","Equisetum.arvense.L.",1367.5,1367.5,1367.5,1,1,0
"481","Stachys.sylvatica.L.",1367.5,1367.5,1367.5,0.5,1,0
"482","Campanula.barbata.L.",1848.2,2317.4,2110.16666666667,0.7,6,469.2
"483","Alchemilla.fissa.aggr.",1997.2,2330.2,2147,0.233333333333333,6,333
"484","Polygonum.bistorta.L.",1997.2,1997.2,1997.2,2,1,0
"485","Pulsatilla.alpina..L...Delarbre",1969.6,2249.4,2071.88571428571,1.18571428571429,7,279.8
"486","Rhinanthus.glacialis.Personnat",1997.2,2184.4,2085.15555555556,0.277777777777778,9,187.2
"487","Rhododendron..intermedium.Wender.",1997.2,1997.2,1997.2,6,1,0
"488","Bromus.sterilis.L.",883.7,883.7,883.7,30,1,0
"489","Lamium.album.L.",883.7,883.7,883.7,0.1,1,0
"490","Sonchus.arvensis.L.",883.7,883.7,883.7,0.1,1,0
"491","Tamus.communis.L.",621,883.7,752.35,0.55,2,262.7
"492","Thlaspi.perfoliatum.L.",883.7,883.7,883.7,0.1,1,0
"493","Verbascum",Inf,-Inf,NA,NA,0,-Inf
"494","Capsella.bursa.pastoris..L...Medik.",883.7,883.7,883.7,2,1,0
"495","Geranium.pusillum.L.",883.7,883.7,883.7,0.1,1,0
"496","Parietaria.officinalis.L.",883.7,883.7,883.7,6,1,0
"497","Stellaria.media..L...Vill.",883.7,883.7,883.7,0.1,1,0
"498","Veronica.persica.Poir.",883.7,883.7,883.7,0.5,1,0
"499","Carex.ericetorum.Pollich",1205.4,1993.8,1722.825,0.3,4,788.4
"500","Minuartia.verna..L...Hiern",1993.8,2736.2,2240.625,0.30625,16,742.4
"501","Erigeron.alpinus.aggr.",1938.2,2736.2,2190.96,0.95,10,798
"502","Alchemilla.conjuncta.Bab.",1605.5,1605.5,1605.5,1,1,0
"503","Euphrasia.rostkoviana.Hayne",684.1,1851.5,1302.34545454545,0.5,11,1167.4
"504","Acer",974.3,974.3,974.3,0.1,1,0
"505","Salvia.officinalis.L.",974.3,974.3,974.3,6,1,0
"506","Cichorium.intybus.L.",679.7,696,688.85,2.08333333333333,6,16.3
"507","Picris.hieracioides.L.",684.1,975.3,747.3,0.36,5,291.2
"508","Centaurium.erythraea.Rafn",981.1,1010.5,992.675,0.1,4,29.4
"509","Gentiana.germanica.Willd.",689,982.9,884.333333333333,0.1,3,293.9
"510","Koeleria.pyramidata..Lam...P..Beauv.",679.7,698.2,688.9,1.33333333333333,3,18.5
"511","Onobrychis.viciifolia.Scop.",679.7,692.2,685.95,0.55,2,12.5
"512","Seseli.annuum.L.",678.6,698.2,687.425,0.3,4,19.6
"513","Pastinaca.sativa.L.",684.1,709.6,696.85,0.5,2,25.5
"514","Allium.carinatum.L.",680.9,1409.8,891.56,0.26,5,728.9
"515","Setaria.viridis..L...P..Beauv.",671.6,671.6,671.6,0.1,1,0
