unique_plot_ID,veg_height
CHE.hi.ambi.vege.wf.01,148
CHE.hi.ambi.vege.wf.06,258
CHE.hi.ambi.vege.nf.06,72
CHE.hi.warm.vege.nf.06,70
CHE.hi.warm.vege.wf.06,48
CHE.hi.warm.vege.wf.07,88
CHE.hi.ambi.vege.wf.07,45
CHE.hi.ambi.vege.nf.08,21
CHE.hi.ambi.vege.wf.08,84
CHE.hi.warm.vege.nf.08,48
CHE.hi.warm.vege.wf.08,75
CHE.hi.warm.vege.nf.09,78
CHE.hi.ambi.vege.nf.09,45
CHE.hi.warm.vege.wf.09,82
CHE.hi.ambi.vege.wf.09,83
CHE.hi.warm.vege.nf.10,76
CHE.hi.ambi.vege.wf.10,117
CHE.hi.warm.vege.wf.10,84
CHE.hi.ambi.vege.nf.10,34
CHE.lo.ambi.vege.wf.09,280
CHE.lo.ambi.vege.wf.08,213
CHE.lo.ambi.vege.wf.07,583
CHE.lo.ambi.vege.wf.06,370
CHE.lo.ambi.vege.wf.10,318
CHE.lo.ambi.vege.wf.04,298
CHE.lo.ambi.vege.wf.01,302
CHE.lo.ambi.vege.wf.02,88
CHE.lo.ambi.vege.wf.05,414
CHE.lo.ambi.vege.wf.03,144
CHE.hi.ambi.vege.wf.02,72
CHE.hi.ambi.vege.nf.02,92
CHE.hi.warm.vege.nf.02,46
CHE.hi.warm.vege.wf.02,50
CHE.hi.ambi.vege.wf.03,89
CHE.hi.warm.vege.nf.03,118
CHE.hi.warm.vege.wf.03,114
CHE.hi.ambi.vege.nf.03,75
CHE.hi.warm.vege.wf.05,55
CHE.hi.ambi.vege.nf.05,60
CHE.hi.warm.vege.nf.05,68
CHE.hi.ambi.vege.wf.05,76
CHE.hi.warm.vege.wf.04,101
CHE.hi.warm.vege.wf.01,50
CHE.hi.warm.vege.nf.04,105
CHE.hi.ambi.vege.wf.04,83
CHE.hi.ambi.vege.nf.04,90
CHE.hi.ambi.vege.wf.01,120
CHE.hi.ambi.vege.wf.06,54
CHE.hi.ambi.vege.nf.06,70
CHE.hi.warm.vege.nf.06,70
CHE.hi.warm.vege.wf.06,64
CHE.hi.warm.vege.wf.07,92
CHE.hi.ambi.vege.wf.07,109
CHE.hi.ambi.vege.nf.08,26
CHE.hi.ambi.vege.wf.08,213
CHE.hi.warm.vege.nf.08,154
CHE.hi.warm.vege.wf.08,76
CHE.hi.warm.vege.nf.09,104
CHE.hi.ambi.vege.nf.09,57
CHE.hi.warm.vege.wf.09,68
CHE.hi.ambi.vege.wf.09,61
CHE.hi.warm.vege.nf.10,111
CHE.hi.ambi.vege.wf.10,118
CHE.hi.warm.vege.wf.10,35
CHE.hi.ambi.vege.nf.10,46
CHE.lo.ambi.vege.wf.09,263
CHE.lo.ambi.vege.wf.08,220
CHE.lo.ambi.vege.wf.07,552
CHE.lo.ambi.vege.wf.06,168
CHE.lo.ambi.vege.wf.10,658
CHE.lo.ambi.vege.wf.04,307
CHE.lo.ambi.vege.wf.01,631
CHE.lo.ambi.vege.wf.02,149
CHE.lo.ambi.vege.wf.05,167
CHE.lo.ambi.vege.wf.03,123
CHE.hi.ambi.vege.wf.02,41
CHE.hi.ambi.vege.nf.02,95
CHE.hi.warm.vege.nf.02,62
CHE.hi.warm.vege.wf.02,38
CHE.hi.ambi.vege.wf.03,242
CHE.hi.warm.vege.nf.03,100
CHE.hi.warm.vege.wf.03,63
CHE.hi.ambi.vege.nf.03,117
CHE.hi.warm.vege.wf.05,74
CHE.hi.ambi.vege.nf.05,121
CHE.hi.warm.vege.nf.05,89
CHE.hi.ambi.vege.wf.05,78
CHE.hi.warm.vege.wf.04,62
CHE.hi.warm.vege.wf.01,84
CHE.hi.warm.vege.nf.04,71
CHE.hi.ambi.vege.wf.04,158
CHE.hi.ambi.vege.nf.04,104
CHE.hi.ambi.vege.wf.01,78
CHE.hi.ambi.vege.wf.06,89
CHE.hi.ambi.vege.nf.06,52
CHE.hi.warm.vege.nf.06,48
