site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
hi,salpra,bare.warm,recruit_size,221,NA,NA,NA,NA,NA,-2.591370914184577,1.1528033203186945,warm,bare,-4.786668066479001,1.4361891038576795
hi,salpra,vege.ambi,survival,238,NA,5.0022818126108675,1.3693405711781175,NA,NA,NA,NA,ambi,vege,-5.392318092397184,-0.4738612077016997
hi,salpra,vege.ambi,size_t1_log,116,0.578051788124411,-1.6685409578689518,0.31896020639797884,0.09242002765929871,0.7673012647966563,NA,NA,ambi,vege,-5.392318092397184,-0.4738612077016997
hi,salpra,vege.ambi,flower_status,356,1.3607386121050795,-17.106610548300324,1245.932638219957,0.27935378191345717,NA,NA,NA,ambi,vege,-5.392318092397184,-0.4738612077016997
hi,salpra,vege.ambi,number_seeds,27,0.3737452979982754,4.399236438136017,0.2653161617138079,0.08521359677872023,NA,NA,NA,ambi,vege,-5.392318092397184,-0.4738612077016997
hi,salpra,vege.ambi,germ_rate,157,NA,-2.264035815216277,0.2149105047176243,NA,NA,NA,NA,ambi,vege,-5.392318092397184,-0.4738612077016997
hi,salpra,vege.ambi,establishment,157,NA,1.8977170924656277,0.3543891928969194,NA,NA,NA,NA,ambi,vege,-5.392318092397184,-0.4738612077016997
hi,salpra,vege.ambi,recruit_size,221,NA,NA,NA,NA,NA,-2.591370914184577,1.1528033203186945,ambi,vege,-5.392318092397184,-0.4738612077016997
hi,salpra,vege.warm,survival,238,NA,25.03097025103047,9428.61091054143,NA,NA,NA,NA,warm,vege,-5.980851913063182,-1.4147929730247673
hi,salpra,vege.warm,size_t1_log,116,0.578051788124411,-1.0624249779807866,0.29342272948564185,0.09242002765929871,0.7673012647966563,NA,NA,warm,vege,-5.980851913063182,-1.4147929730247673
hi,salpra,vege.warm,flower_status,356,1.3607386121050795,-17.106610548300324,1245.932638219957,0.27935378191345717,NA,NA,NA,warm,vege,-5.980851913063182,-1.4147929730247673
hi,salpra,vege.warm,number_seeds,27,0.004677827254024436,4.27528725061247,0.2675898477246826,0.09381293507388203,NA,NA,NA,warm,vege,-5.980851913063182,-1.4147929730247673
hi,salpra,vege.warm,germ_rate,157,NA,-3.114590309826922,0.23990986790523852,NA,NA,NA,NA,warm,vege,-5.980851913063182,-1.4147929730247673
hi,salpra,vege.warm,establishment,157,NA,0.6665675263153429,0.355591312945341,NA,NA,NA,NA,warm,vege,-5.980851913063182,-1.4147929730247673
hi,salpra,vege.warm,recruit_size,221,NA,NA,NA,NA,NA,-2.591370914184577,1.1528033203186945,warm,vege,-5.980851913063182,-1.4147929730247673
hi,scacol,bare.ambi,survival,238,-0.49595523924018264,2.2407642304907673,0.4610770112287047,0.24753622845243456,NA,NA,NA,ambi,bare,-4.1236021054972705,2.9701857225882624
