site,species,treat_combi,vital_rate,N_size,slope,intercept,se.intercept,se.slope,sigma,r_mean,r_sd,treat_warm,treat_comp,L,U
hi,daucar,bare.ambi,size_t1_log,82,0.8016562767934998,1.215185048810111,0.504374174742278,0.1730066002904265,1.450183054315827,NA,NA,ambi,bare,-6.534688003239362,3.46744925991716
hi,daucar,bare.ambi,flower_status,234,1.3696261438624964,-0.6115831028934327,0.4404062419290914,0.277965470164796,NA,NA,NA,ambi,bare,-6.534688003239362,3.46744925991716
hi,daucar,bare.ambi,number_seeds,41,0.6019171315231363,6.708785590611084,0.13233317030504,0.00809047952847234,NA,NA,NA,ambi,bare,-6.534688003239362,3.46744925991716
hi,daucar,bare.ambi,germ_rate,159,NA,-1.1763823028958174,0.1371973271272317,NA,NA,NA,NA,ambi,bare,-6.534688003239362,3.46744925991716
hi,daucar,bare.ambi,establishment,157,NA,-1.5323088791521173,0.3928912808582007,NA,NA,NA,NA,ambi,bare,-6.534688003239362,3.46744925991716
hi,daucar,bare.ambi,recruit_size,235,NA,NA,NA,NA,NA,-2.5299558062830174,1.5264730635407098,ambi,bare,-6.534688003239362,3.46744925991716
hi,daucar,bare.warm,survival,199,NA,-0.6591377996163504,0.23456440277720955,NA,NA,NA,NA,warm,bare,-5.200252342976913,2.7750499634217003
hi,daucar,bare.warm,size_t1_log,82,0.8016562767934998,1.215185048810111,0.504374174742278,0.1730066002904265,1.450183054315827,NA,NA,warm,bare,-5.200252342976913,2.7750499634217003
hi,daucar,bare.warm,flower_status,234,2.511537540181104,0.03606050768482294,0.6804786046827441,0.5191718157342575,NA,NA,NA,warm,bare,-5.200252342976913,2.7750499634217003
hi,daucar,bare.warm,number_seeds,41,0.362679216008687,6.867396117086243,0.13262372030073966,0.013421207268348313,NA,NA,NA,warm,bare,-5.200252342976913,2.7750499634217003
hi,daucar,bare.warm,germ_rate,159,NA,-0.942569708739752,0.1325009317862562,NA,NA,NA,NA,warm,bare,-5.200252342976913,2.7750499634217003
hi,daucar,bare.warm,establishment,157,NA,-1.7801434679875188,0.3736248461984796,NA,NA,NA,NA,warm,bare,-5.200252342976913,2.7750499634217003
hi,daucar,bare.warm,recruit_size,235,NA,NA,NA,NA,NA,-2.5299558062830174,1.5264730635407098,warm,bare,-5.200252342976913,2.7750499634217003
hi,daucar,vege.ambi,survival,199,NA,1.1566023128808554,0.21840030065716615,NA,NA,NA,NA,ambi,vege,-7.041641409770663,0.6161507120840275
hi,daucar,vege.ambi,size_t1_log,82,0.8016562767934998,0.3145091398077746,0.5996644524898471,0.1730066002904265,1.450183054315827,NA,NA,ambi,vege,-7.041641409770663,0.6161507120840275
hi,daucar,vege.ambi,flower_status,234,1.3696261438624964,1.0768543957630488,0.5307190316124692,0.277965470164796,NA,NA,NA,ambi,vege,-7.041641409770663,0.6161507120840275
hi,daucar,vege.ambi,number_seeds,41,0.2927091726600143,5.475939378528292,0.13342156200345875,0.022626102805072955,NA,NA,NA,ambi,vege,-7.041641409770663,0.6161507120840275
hi,daucar,vege.ambi,germ_rate,159,NA,-1.0693439775511515,0.13563560298935284,NA,NA,NA,NA,ambi,vege,-7.041641409770663,0.6161507120840275
hi,daucar,vege.ambi,establishment,157,NA,0.2880801184134618,0.34131197328731316,NA,NA,NA,NA,ambi,vege,-7.041641409770663,0.6161507120840275
hi,daucar,vege.ambi,recruit_size,235,NA,NA,NA,NA,NA,-2.5299558062830174,1.5264730635407098,ambi,vege,-7.041641409770663,0.6161507120840275
hi,daucar,vege.warm,survival,199,NA,1.1566023128808554,0.21840030065716615,NA,NA,NA,NA,warm,vege,-8.289306334778564,0.2860575426254516
hi,daucar,vege.warm,size_t1_log,82,0.8016562767934998,0.3145091398077746,0.5996644524898471,0.1730066002904265,1.450183054315827,NA,NA,warm,vege,-8.289306334778564,0.2860575426254516
hi,daucar,vege.warm,flower_status,234,2.511537540181104,1.7244980063413045,0.7494125741382803,0.5191718157342575,NA,NA,NA,warm,vege,-8.289306334778564,0.2860575426254516
hi,daucar,vege.warm,number_seeds,41,-0.1380811006665148,5.547083031078872,0.13660079031417027,0.0345876912411089,NA,NA,NA,warm,vege,-8.289306334778564,0.2860575426254516
hi,daucar,vege.warm,germ_rate,159,NA,-1.4551299819218209,0.14448936938921883,NA,NA,NA,NA,warm,vege,-8.289306334778564,0.2860575426254516
hi,daucar,vege.warm,establishment,157,NA,-0.7774311200638515,0.37746782208949536,NA,NA,NA,NA,warm,vege,-8.289306334778564,0.2860575426254516
hi,daucar,vege.warm,recruit_size,235,NA,NA,NA,NA,NA,-2.5299558062830174,1.5264730635407098,warm,vege,-8.289306334778564,0.2860575426254516
hi,hypper,bare.ambi,survival,236,NA,2.5076108755849607,0.5596865149104464,NA,NA,NA,NA,ambi,bare,-5.2282286912826255,3.307339434951558
hi,hypper,bare.ambi,size_t1_log,116,0.8887980158297601,2.5189577917918737,0.18604653856932776,0.1061720076042779,0.6473105731619483,NA,NA,ambi,bare,-5.2282286912826255,3.307339434951558
hi,hypper,bare.ambi,flower_status,344,2.9351920394070965,-0.7321069968298168,0.478162001554413,0.4058930184024181,NA,NA,NA,ambi,bare,-5.2282286912826255,3.307339434951558
hi,hypper,bare.ambi,number_seeds,83,1.4423485667074418,5.09621279056252,0.1409145235104924,0.005860477243482579,NA,NA,NA,ambi,bare,-5.2282286912826255,3.307339434951558
hi,hypper,bare.ambi,germ_rate,57,NA,-3.865979066926109,0.25260409787294313,NA,NA,NA,NA,ambi,bare,-5.2282286912826255,3.307339434951558
hi,hypper,bare.ambi,establishment,49,NA,-1.1939224672096767,0.3609684767965023,NA,NA,NA,NA,ambi,bare,-5.2282286912826255,3.307339434951558
hi,hypper,bare.ambi,recruit_size,202,NA,NA,NA,NA,NA,-3.5479282833167405,0.7572952265462148,ambi,bare,-5.2282286912826255,3.307339434951558
hi,hypper,bare.warm,survival,236,NA,2.5076108755849607,0.5596865149104464,NA,NA,NA,NA,warm,bare,-3.9378990256927264,2.809852776844376
hi,hypper,bare.warm,size_t1_log,116,0.8887980158297601,2.5189577917918737,0.18604653856932776,0.1061720076042779,0.6473105731619483,NA,NA,warm,bare,-3.9378990256927264,2.809852776844376
hi,hypper,bare.warm,flower_status,344,2.9351920394070965,-3.291982046334062,0.5950965067705233,0.4058930184024181,NA,NA,NA,warm,bare,-3.9378990256927264,2.809852776844376
hi,hypper,bare.warm,number_seeds,83,1.2418944923484463,5.578325417094368,0.1420176694906037,0.011009796862326268,NA,NA,NA,warm,bare,-3.9378990256927264,2.809852776844376
