unique_plant_ID,species,functional_group,date_planting,survival_2021,survival_2022,survival_2023,flower_status_2021,flower_status_2022,flower_status_2023,biomass_comb_2021,biomass_comb_2022,biomass_comb_2023,number_seeds_2021,number_seeds_2022,number_seeds_2023,height_vegetative_str_2021,height_vegetative_str_2022,height_vegetative_str_2023,number_leaves_2021,number_leaves_2022,number_leaves_2023
CHE.lo.ambi.vege.wf.04.10.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.2833533690758142,0.07742826073261108,0.0077,0,0,0,118,76,33,4,3,2
CHE.lo.ambi.vege.wf.04.11.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.22031334000973235,0.2694225344365921,0.1061,0,0,0,177,212,201,24,26,13
CHE.lo.ambi.vege.wf.04.12.1,daucar,forb,2021-06-16,1,1,1,0,0,0,0.2983366356577395,0.7073386988266231,0.1445,0,0,0,301,332,147,4,5,3
CHE.lo.ambi.vege.wf.04.13.1,daucar,forb,2021-06-16,1,1,1,0,0,1,0.21268532481679914,0.4619756319169308,0.3892,0,0,595.4,240,256,218,5,5,5
CHE.lo.ambi.vege.wf.04.14.1,cenjac,forb,2021-06-16,1,1,1,0,0,1,0.16624174918031773,0.26911026205289323,1.75,0,0,57.8,354,362,487,5,6,31
CHE.lo.ambi.vege.wf.04.15.1,hypper,forb,2021-06-16,1,1,1,0,0,0,0.039822391071731335,0.04194522983180365,0.083,0,0,0,131,205,247,17,17,26
CHE.lo.ambi.vege.wf.04.16.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.15809697071760495,0.18212871725744553,0.1476,0,0,0,390,390,302,6,7,4
CHE.lo.ambi.vege.wf.04.17.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.8742489121088031,0.6581185879104949,0.5062,0,0,0,142,175,205,6,4,5
CHE.lo.ambi.vege.wf.04.18.1,hypper,forb,2021-06-16,1,1,1,0,1,1,0.26889641295034794,0.47931350049960836,1.18,0,321.8181818181818,1716.3636363636363,238,387,458,80,112,182
CHE.lo.ambi.vege.wf.04.19.1,salpra,forb,2021-06-16,1,1,0,0,0,NA,0.0665077600372553,0.05186766709857827,NA,0,0,NA,65,95,NA,4,2,NA
CHE.lo.ambi.vege.wf.04.20.1,silvul,forb,2021-06-16,1,1,1,0,1,0,0.1964611700102383,0.6607237102326505,0.0215,0,149.79999999999998,0,194,320,101,19,11,2
CHE.lo.ambi.vege.wf.04.21.1,medlup,legume,2021-06-16,1,1,0,0,0,NA,0.03208047360717019,0.013921845702988019,NA,0,0,NA,118,80,NA,5,6,NA
CHE.lo.ambi.vege.wf.04.22.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.07346711878524653,0.12861624741345618,0.3172,0,0,0,128,168,168,11,15,15
CHE.lo.ambi.vege.wf.04.23.2,scacol,forb,2021-07-07,1,1,0,0,0,NA,0.05052299609314261,0.02510679146871785,NA,0,0,NA,69,79,NA,5,2,NA
CHE.lo.ambi.vege.wf.04.24.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.0742011342129231,0.1835074467039104,0.133,0,0,0,80,83,114,6,8,9
CHE.lo.ambi.vege.wf.04.25.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.12180714833409242,0.5277911319337889,0.91,0,28.9,28.9,236,375,362,5,8,18
CHE.lo.ambi.vege.wf.04.26.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.05308911906080222,0.14661087490700714,0.531,0,0,0,51,73,66,5,7,6
CHE.lo.ambi.vege.wf.04.27.1,medlup,legume,2021-06-16,1,1,0,0,1,NA,0.042324064210125474,0.2476047795836131,NA,0,130,NA,130,297,NA,6,16,NA
CHE.lo.ambi.vege.wf.04.28.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.07167189529629284,0.04478321769420605,0.0096,0,0,0,56,46,31,6,5,4
CHE.lo.ambi.vege.wf.04.29.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.3543474417829859,0.2570224058939471,0.1474,0,0,0,100,172,85,5,3,3
CHE.lo.ambi.vege.wf.04.30.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,NA,1.052702884190286,1.06,0,28.9,28.9,233,382,465,NA,16,17
CHE.lo.ambi.vege.wf.10.01.1,brapin,graminoid,2021-06-16,1,1,1,0,1,0,0.1174130473022644,0.45901083490184974,0.71,0,12.461538461538462,0,276,320,273,10,11,38
CHE.lo.ambi.vege.wf.10.02.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,0.1695431315000649,0.5711386997549416,NA,0,297.7,NA,169,276,NA,4,8,NA
CHE.lo.ambi.vege.wf.10.03.1,broere,graminoid,2021-06-16,1,1,1,0,0,1,0.09526377845082806,0.3354016027918763,2.03,0,0,51.57142857142857,341,400,640,6,13,38
CHE.lo.ambi.vege.wf.10.04.1,broere,graminoid,2021-06-16,1,1,1,0,0,0,0.017285769886009675,0.04236085720004598,0.1841,0,0,0,136,243,192,3,4,16
CHE.lo.ambi.vege.wf.10.05.1,hypper,forb,2021-06-16,1,1,0,0,1,NA,0.2107752169100532,2.047288873509148,NA,0,1984.5454545454545,NA,212,421,NA,64,301,NA
CHE.lo.ambi.vege.wf.10.06.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.10358230420986866,0.0257032863218891,0.0723,0,0,0,62,47,121,8,4,8
CHE.lo.ambi.vege.wf.10.07.1,broere,graminoid,2021-06-16,1,1,1,0,0,0,0.033442304306988066,0.17745182124471695,0.1784,0,0,0,259,419,261,3,8,7
CHE.lo.ambi.vege.wf.10.08.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.03199583624696336,0.05454458983956992,0.042,0,0,0,215,290,209,3,4,3
CHE.lo.ambi.vege.wf.10.09.1,medlup,legume,2021-06-16,1,0,0,0,NA,NA,0.002264507698682216,NA,NA,0,NA,NA,25,NA,NA,5,NA,NA
CHE.lo.ambi.vege.wf.10.10.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.44058421963423267,0.48649926321820386,0.1109,0,0,0,74,120,94,7,5,4
CHE.lo.ambi.vege.wf.10.11.1,silvul,forb,2021-06-16,1,1,1,0,1,0,0.3230227835382569,0.541788925310871,0.0943,0,49.93333333333333,0,192,250,198,32,17,11
CHE.lo.ambi.vege.wf.10.12.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,0.4346011327492232,0.5907473654077318,NA,0,595.4,NA,201,251,NA,6,3,NA
CHE.lo.ambi.vege.wf.10.13.1,daucar,forb,2021-06-21,1,1,1,0,0,0,0.04324680031632109,0.07307211983889439,0.0422,0,0,0,150,172,148,2,3,2
CHE.lo.ambi.vege.wf.10.14.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.13634297446735982,0.5749395749009121,0.68,0,28.9,28.9,188,243,313,6,10,6
CHE.lo.ambi.vege.wf.10.15.1,hypper,forb,2021-06-16,1,1,1,0,1,1,0.4619427521353368,1.7059291210435983,1.71,0,2628.181818181818,1930.9090909090908,277,487,446,118,197,198
CHE.lo.ambi.vege.wf.10.16.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.11658942451620105,0.30717530898546364,0.0178,0,0,0,351,321,176,6,12,3
CHE.lo.ambi.vege.wf.10.17.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.542194430518885,0.29158909750104595,0.3547,0,0,0,134,202,156,6,3,4
CHE.lo.ambi.vege.wf.10.18.1,hypper,forb,2021-06-16,1,1,1,0,0,1,0.06272990956834107,0.8503736249706607,1.44,0,0,2306.363636363636,186,366,460,23,196,150
CHE.lo.ambi.vege.wf.10.19.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.058387898957158665,0.041089898635758716,0.0046,0,0,0,53,44,34,5,4,2
CHE.lo.ambi.vege.wf.10.20.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.11167343328580666,0.09747361502455358,0.0439,0,0,0,124,131,126,16,14,3
CHE.lo.ambi.vege.wf.10.21.1,medlup,legume,2021-06-16,1,0,0,0,NA,NA,0.032255464582259606,NA,NA,0,NA,NA,133,NA,NA,5,NA,NA
CHE.lo.ambi.vege.wf.10.22.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.28842283307884736,0.2810974992128919,0.3643,0,0,0,177,236,296,29,24,15
CHE.lo.ambi.vege.wf.10.23.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.048238811952627025,0.13938164964402655,0.5055,0,0,0,36,88,145,8,7,10
CHE.lo.ambi.vege.wf.10.24.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.12737947632524466,0.08757652779716983,0.0845,0,0,0,58,65,65,11,8,21
CHE.lo.ambi.vege.wf.10.25.1,cenjac,forb,2021-06-16,1,1,1,0,1,0,0.08950888539813821,0.4491552721117118,1.02,0,28.9,0,196,300,294,5,9,22
CHE.lo.ambi.vege.wf.10.26.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.05026723798027785,0.03558217570935643,0.0224,0,0,0,158,70,55,4,2,3
CHE.lo.ambi.vege.wf.10.27.1,medlup,legume,2021-06-16,1,0,0,0,NA,NA,0.013638835956188368,NA,NA,0,NA,NA,89,NA,NA,3,NA,NA
CHE.lo.ambi.vege.wf.10.28.2,salpra,forb,2021-09-21,NA,1,0,NA,0,NA,NA,0.0550299040869717,NA,NA,0,NA,NA,105,NA,NA,2,NA
CHE.lo.ambi.vege.wf.10.29.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.12467123949319099,0.031589104158728426,0.0334,0,0,0,55,93,63,5,2,3
CHE.lo.ambi.vege.wf.10.30.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.18510709937798978,1.786165990985145,1.8028151830490622,0,28.9,57.8,209,440,491,7,17,22
CHE.lo.ambi.vege.wf.03.01.1,brapin,graminoid,2021-06-16,1,1,1,0,0,1,0.07620208702679371,2.34117218670342,8.28,0,0,311.53846153846155,267,355,392,4,65,180
CHE.lo.ambi.vege.wf.03.02.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,0.42436019842743217,3.1002603107681166,NA,0,1786.1999999999998,NA,176,315,NA,7,11,NA
CHE.lo.ambi.vege.wf.03.03.1,broere,graminoid,2021-06-16,1,1,1,0,1,1,0.14033178226551998,2.449351924236022,4.89,0,25.785714285714285,103.14285714285714,432,475,626,7,52,70
CHE.lo.ambi.vege.wf.03.04.1,broere,graminoid,2021-06-16,1,1,1,0,1,1,0.21442342938791029,1.4832409396130524,6.26,0,25.785714285714285,77.35714285714286,353,490,761,10,30,104
CHE.lo.ambi.vege.wf.03.05.1,hypper,forb,2021-06-16,1,1,1,0,1,1,0.24166085776285334,2.2350283496952303,1.33,0,3003.6363636363635,1555.4545454545453,190,412,352,76,284,294
CHE.lo.ambi.vege.wf.03.06.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.27655929128678625,0.21826461372085798,0.5829,0,0,0,112,118,134,10,8,33
CHE.lo.ambi.vege.wf.03.07.1,broere,graminoid,2021-06-21,1,1,1,0,0,1,0.20330676401264078,0.710248756412573,3.22,0,0,51.57142857142857,341,459,496,12,24,76
CHE.lo.ambi.vege.wf.03.08.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.05136090016978138,0.6906761216213616,1.43,0,0,0,211,375,299,4,26,72
CHE.lo.ambi.vege.wf.03.09.1,medlup,legume,2021-06-16,1,1,0,0,1,NA,0.026838555941954827,0.1891955886013569,NA,0,59.09090909090909,NA,109,203,NA,5,13,NA
CHE.lo.ambi.vege.wf.03.10.1,plamed,forb,2021-06-16,1,1,1,0,0,1,0.950048637313621,0.7165305776207839,2.0001,0,0,880.0555555555555,87,145,135,9,5,9
CHE.lo.ambi.vege.wf.03.11.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.45834613567341803,0.0643200345539053,0.4706,0,0,0,190,127,184,46,10,68
CHE.lo.ambi.vege.wf.03.12.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,1.4866719799609454,23.690630710248513,NA,0,2679.2999999999997,NA,214,341,NA,11,25,NA
CHE.lo.ambi.vege.wf.03.13.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,7.599824754281087,8.885643024164734,NA,0,2977,NA,218,522,NA,9,9,NA
CHE.lo.ambi.vege.wf.03.14.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.07773240474535324,1.8416144618405124,2.7,0,28.9,86.69999999999999,205,446,597,4,22,30
CHE.lo.ambi.vege.wf.03.15.1,hypper,forb,2021-06-16,1,1,1,0,1,1,0.2891961304566602,3.246923019011676,1.33,0,5310,965.4545454545454,121,475,334,102,322,194
CHE.lo.ambi.vege.wf.03.16.1,brapin,graminoid,2021-06-16,1,1,1,0,1,0,0.09485956105669817,1.2226407337673177,0.32,0,24.923076923076923,0,321,447,224,5,24,27
CHE.lo.ambi.vege.wf.03.17.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.823767522435983,0.6826256476452927,0.1868,0,0,0,109,166,122,7,5,10
CHE.lo.ambi.vege.wf.03.18.1,hypper,forb,2021-06-16,1,1,1,0,1,1,0.5828509248224322,7.0477927971673,7.92,0,9332.727272727272,14964.545454545454,220,542,400,158,664,660
CHE.lo.ambi.vege.wf.03.19.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.38946961645761397,0.15918759030808488,0.1486,0,0,0,122,130,93,8,4,6
CHE.lo.ambi.vege.wf.03.20.1,silvul,forb,2021-06-16,1,1,1,0,1,0,0.10699916449651588,0.5549298574847822,0.105,0,49.93333333333333,0,173,279,182,12,16,9
CHE.lo.ambi.vege.wf.03.21.1,medlup,legume,2021-06-16,1,1,0,0,1,NA,0.02264208427001345,0.1257075100344752,NA,0,59.09090909090909,NA,98,151,NA,4,10,NA
CHE.lo.ambi.vege.wf.03.22.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.12822613555263335,0.1350752379053222,0.0083,0,0,0,190,176,51,14,15,2
CHE.lo.ambi.vege.wf.03.23.1,scacol,forb,2021-06-16,1,1,0,0,0,NA,0.09725803327984231,0.11613103227201765,NA,0,0,NA,80,109,NA,6,6,NA
CHE.lo.ambi.vege.wf.03.24.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.12536250044737376,0.2778758726649553,0.396,0,0,0,80,132,107,6,7,11
CHE.lo.ambi.vege.wf.03.25.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.07626573216973287,4.9435881080492194,5.22,0,173.39999999999998,173.39999999999998,225,409,529,4,40,79
CHE.lo.ambi.vege.wf.03.26.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.40604850087132854,0.2082180444896668,0.2204,0,0,0,102,107,131,12,6,6
CHE.lo.ambi.vege.wf.03.27.1,medlup,legume,2021-06-16,1,1,0,0,0,NA,0.006893048656336399,0.006849635473981797,NA,0,0,NA,63,56,NA,4,6,NA
CHE.lo.ambi.vege.wf.03.28.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.16532347731736974,0.09983764487249049,0.2411,0,0,0,94,88,136,7,4,9
CHE.lo.ambi.vege.wf.03.29.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.32995771832747317,0.3819620717966126,0.6337,0,0,0,78,121,120,6,4,16
CHE.lo.ambi.vege.wf.03.30.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.27092443752877216,4.154960596413213,4.86,0,144.5,144.5,240,358,473,8,44,83
CHE.lo.ambi.vege.wf.05.01.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.10591934508058305,0.06784403346895186,0.1268,0,0,0,232,319,175,9,4,11
CHE.lo.ambi.vege.wf.05.02.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,0.4461388448285925,10.09433621828334,NA,0,1488.5,NA,215,414,NA,7,11,NA
CHE.lo.ambi.vege.wf.05.03.1,broere,graminoid,2021-06-16,1,1,1,0,1,0,0.06233784939635111,0.524636390429108,0.32,0,25.785714285714285,0,306,587,296,5,8,9
CHE.lo.ambi.vege.wf.05.04.1,broere,graminoid,2021-06-16,1,1,1,0,0,0,0.06872235820655759,0.3164793765632245,0.91,0,0,0,338,396,416,5,13,31
CHE.lo.ambi.vege.wf.05.05.1,hypper,forb,2021-06-16,1,1,1,0,0,1,0.06055550509454935,0.9105949172262748,1.79,0,0,3164.5454545454545,200,349,474,21,200,118
CHE.lo.ambi.vege.wf.05.06.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.14696186979954806,0.33064432023059265,0.2616,0,0,0,73,153,128,8,8,8
CHE.lo.ambi.vege.wf.05.07.1,broere,graminoid,2021-06-16,1,1,1,0,0,0,0.1008628532125691,0.5031981048738944,0.82,0,0,0,321,449,407,7,17,28
CHE.lo.ambi.vege.wf.05.08.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.13234643240410382,0.39745096600685714,0.1507,0,0,0,279,371,258,9,15,6
CHE.lo.ambi.vege.wf.05.09.1,medlup,legume,2021-06-16,1,1,0,0,0,NA,0.01328231177983278,0.010520131242343187,NA,0,0,NA,66,59,NA,4,4,NA
CHE.lo.ambi.vege.wf.05.10.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.4389852530115138,0.2808798453199332,0.076,0,0,0,118,107,90,5,5,3
CHE.lo.ambi.vege.wf.05.11.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.15760079460124957,0.25381653165772944,0.2188,0,0,0,153,299,290,19,18,14
CHE.lo.ambi.vege.wf.05.12.1,daucar,forb,2021-06-16,1,0,0,0,NA,NA,0.6934225884252718,NA,NA,0,NA,NA,252,NA,NA,6,NA,NA
CHE.lo.ambi.vege.wf.05.13.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,0.2408055301547634,0.5209719161308376,NA,0,595.4,NA,203,230,NA,4,2,NA
CHE.lo.ambi.vege.wf.05.14.1,cenjac,forb,2021-06-16,1,1,0,0,1,NA,0.0782556343862336,1.2490245371026896,NA,0,28.9,NA,217,393,NA,4,13,NA
CHE.lo.ambi.vege.wf.05.15.1,hypper,forb,2021-06-16,1,1,1,0,1,1,0.40604911329165044,3.131567229270496,3.11,0,2896.363636363636,4934.545454545454,292,525,462,100,362,214
CHE.lo.ambi.vege.wf.05.16.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.06679771648705235,0.057022314913253665,0.0655,0,0,0,222,319,279,6,4,4
CHE.lo.ambi.vege.wf.05.17.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.23938792057914673,0.14506053523840404,0.0985,0,0,0,65,156,133,5,2,2
CHE.lo.ambi.vege.wf.05.18.1,hypper,forb,2021-06-16,1,1,1,0,0,0,0.035617806014749336,0.047201157197893286,0.0973,0,0,0,173,183,239,15,18,26
CHE.lo.ambi.vege.wf.05.19.1,salpra,forb,2021-06-16,1,1,0,0,0,NA,0.0792284374735587,0.06040344059607588,NA,0,0,NA,54,71,NA,6,4,NA
CHE.lo.ambi.vege.wf.05.20.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.22129696312383532,0.2934893127805614,0.116,0,0,0,218,355,257,20,18,5
CHE.lo.ambi.vege.wf.05.21.1,medlup,legume,2021-06-16,1,1,0,0,0,NA,0.019067371866718346,0.015469920573850384,NA,0,0,NA,72,85,NA,6,5,NA
CHE.lo.ambi.vege.wf.05.22.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.2400889439108679,0.044104072637166654,0.1277,0,0,0,183,150,212,26,6,8
CHE.lo.ambi.vege.wf.05.23.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.12301337064432451,0.3791045298677213,0.0687,0,0,0,70,157,173,8,8,7
CHE.lo.ambi.vege.wf.05.24.1,scacol,forb,2021-06-16,1,1,0,0,0,NA,0.07163294772467677,0.022231185553073598,NA,0,0,NA,76,65,NA,5,4,NA
CHE.lo.ambi.vege.wf.05.25.1,cenjac,forb,2021-06-16,1,1,1,0,0,0,0.06146863144470205,0.039733793797582184,0.1251,0,0,0,252,212,166,3,3,3
CHE.lo.ambi.vege.wf.05.26.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.07087759975634052,0.11452649044511944,0.0398,0,0,0,59,97,86,5,4,1
CHE.lo.ambi.vege.wf.05.27.1,medlup,legume,2021-06-16,1,1,0,0,1,NA,0.05809299208602513,0.2214236350815031,NA,0,82.72727272727273,NA,121,290,NA,7,13,NA
CHE.lo.ambi.vege.wf.05.28.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.19393298642413664,0.1160908939254512,0.0437,0,0,0,86,96,123,7,5,3
CHE.lo.ambi.vege.wf.05.29.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.4828711131880654,0.07658565320287897,0.1183,0,0,0,96,118,129,6,3,3
CHE.lo.ambi.vege.wf.05.30.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.02774782450703718,0.49426548758059,0.69,0,28.9,28.9,208,310,354,2,9,10
CHE.lo.ambi.vege.wf.06.01.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.18621524300446232,0.15911137310274262,0.0034,0,0,0,203,254,87,13,8,3
CHE.lo.ambi.vege.wf.06.02.3,daucar,forb,2021-09-21,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE.lo.ambi.vege.wf.06.03.2,broere,graminoid,2021-06-21,1,1,1,0,0,1,0.11270639400217755,0.5181868636241846,2.89,0,0,51.57142857142857,204,305,680,10,24,52
CHE.lo.ambi.vege.wf.06.04.2,broere,graminoid,2021-09-21,NA,1,1,NA,0,0,NA,0.04406282231522588,0.3864,NA,0,0,NA,244,311,NA,4,13
CHE.lo.ambi.vege.wf.06.05.1,hypper,forb,2021-06-16,1,1,1,0,NA,0,0.12046994338504138,NA,0.0514,0,NA,0,149,NA,157,46,NA,22
CHE.lo.ambi.vege.wf.06.06.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.06133065718565309,0.09459160842363606,0.1333,0,0,0,42,67,91,9,7,9
CHE.lo.ambi.vege.wf.06.07.1,broere,graminoid,2021-06-16,1,1,1,0,0,1,0.08931227331804595,0.5808550756824753,2.33,0,0,77.35714285714286,195,251,525,8,29,99
CHE.lo.ambi.vege.wf.06.08.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.11419952349588045,0.1383301268522509,0.21,0,0,0,187,257,239,11,8,16
CHE.lo.ambi.vege.wf.06.09.1,medlup,legume,2021-06-16,1,1,0,0,0,NA,0.034722799777556004,0.0015755137561321373,NA,0,0,NA,98,14,NA,6,2,NA
CHE.lo.ambi.vege.wf.06.10.1,plamed,forb,2021-06-16,1,1,1,0,0,0,0.38353944762195197,0.5205239718074305,0.8389,0,0,0,78,126,142,7,5,6
CHE.lo.ambi.vege.wf.06.11.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.07994295401942221,0.030701869732827784,0.1244,0,0,0,59,125,130,21,5,16
CHE.lo.ambi.vege.wf.06.12.4,daucar,forb,2021-09-21,NA,1,1,NA,0,1,NA,0.2556284678734593,0.4712,NA,0,595.4,NA,17,147,NA,4,6
CHE.lo.ambi.vege.wf.06.13.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,0.44625606637667403,2.353110812585283,NA,0,1190.8,NA,173,157,NA,7,8,NA
CHE.lo.ambi.vege.wf.06.14.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.07670442589858104,0.5328971564485337,0.3404,0,28.9,28.9,142,299,255,5,10,12
CHE.lo.ambi.vege.wf.06.15.1,hypper,forb,2021-06-16,1,1,1,0,1,0,0.04580436931237076,0.32961300285409073,0.1018,0,268.1818181818182,0,139,272,155,20,77,41
CHE.lo.ambi.vege.wf.06.16.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.12797392320841988,0.5360435595845537,0.9,0,0,0,182,288,264,11,21,51
CHE.lo.ambi.vege.wf.06.17.1,plamed,forb,2021-06-16,1,1,1,0,0,1,0.5594891896108055,0.4609474499252479,2.69,0,0,1760.111111111111,68,90,125,9,6,9
CHE.lo.ambi.vege.wf.06.18.1,hypper,forb,2021-06-16,1,1,1,0,0,1,0.14154760633119784,0.7491738468943655,0.74,0,0,1394.5454545454545,143,220,306,54,226,140
CHE.lo.ambi.vege.wf.06.19.1,salpra,forb,2021-06-16,1,1,1,0,0,0,0.13518806060180272,0.10746205219420159,0.0227,0,0,0,65,68,43,8,6,4
CHE.lo.ambi.vege.wf.06.20.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.06838076460263041,0.027437210936241282,0.1049,0,0,0,91,72,138,13,7,12
CHE.lo.ambi.vege.wf.06.21.1,medlup,legume,2021-06-16,1,1,0,1,1,NA,0.1368396598436649,0.09438353665375855,NA,82.72727272727273,70.9090909090909,NA,157,98,NA,9,12,NA
CHE.lo.ambi.vege.wf.06.22.1,silvul,forb,2021-06-16,1,1,1,0,0,0,0.22884662647395665,0.14376575670606542,0.1239,0,0,0,221,152,129,21,18,12
CHE.lo.ambi.vege.wf.06.23.1,scacol,forb,2021-06-16,1,1,1,0,0,0,0.0809429256256175,0.03832965093833299,0.0058,0,0,0,37,48,27,12,5,4
CHE.lo.ambi.vege.wf.06.24.2,scacol,forb,2021-09-21,NA,1,1,NA,0,0,NA,0.3176646862374734,2.22,NA,0,0,NA,107,134,NA,9,50
CHE.lo.ambi.vege.wf.06.25.1,cenjac,forb,2021-06-16,1,1,1,0,1,0,0.10010204078447267,0.5836256530438946,0.49,0,28.9,0,138,293,281,6,12,10
CHE.lo.ambi.vege.wf.06.26.1,salpra,forb,2021-06-16,1,1,1,0,0,1,0.13840669599433023,0.20649665799390268,1.07,0,0,99.63636363636364,52,83,227,10,8,17
CHE.lo.ambi.vege.wf.06.27.2,medlup,legume,2021-09-21,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE.lo.ambi.vege.wf.06.28.1,salpra,forb,2021-06-21,1,1,1,0,0,0,0.13246116698801083,0.19996782972656105,0.5191,0,0,0,67,99,140,7,6,6
CHE.lo.ambi.vege.wf.06.29.1,plamed,forb,2021-06-16,1,1,1,0,0,1,0.21948038770325157,0.5251081216367112,2.0419,0,0,880.0555555555555,63,131,131,6,4,8
CHE.lo.ambi.vege.wf.06.30.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.06165951474866654,0.9863476073094894,3.27,0,28.9,86.69999999999999,124,314,371,5,14,63
CHE.lo.ambi.vege.wf.09.01.1,brapin,graminoid,2021-06-16,1,1,1,0,NA,0,0.016102891513868067,NA,0.0894,0,NA,0,151,NA,212,3,NA,7
CHE.lo.ambi.vege.wf.09.02.1,daucar,forb,2021-06-16,1,1,0,0,1,NA,0.23917549924422543,3.226443316745215,NA,0,1190.8,NA,242,292,NA,4,7,NA
CHE.lo.ambi.vege.wf.09.03.1,broere,graminoid,2021-07-05,1,1,1,0,0,0,0.04526968909576518,0.061626016929351136,0.59,0,0,0,282,276,367,4,5,14
CHE.lo.ambi.vege.wf.09.04.2,broere,graminoid,2021-07-05,1,1,1,0,0,0,0.06156612762854758,0.04236526480158466,0.0728,0,0,0,401,206,225,4,4,4
CHE.lo.ambi.vege.wf.09.05.1,hypper,forb,2021-06-16,1,1,1,0,0,0,0.0663790672697439,0.26698348193517485,0.0624,0,0,0,184,295,147,24,71,30
CHE.lo.ambi.vege.wf.09.06.2,scacol,forb,2021-09-21,NA,1,1,NA,0,1,NA,0.10759718937364218,0.6625,NA,0,78.2,NA,120,375,NA,5,16
CHE.lo.ambi.vege.wf.09.07.1,broere,graminoid,2021-07-05,1,1,1,0,0,0,0.27559172392132786,0.6507640247895343,0.75,0,0,0,425,396,264,12,24,33
CHE.lo.ambi.vege.wf.09.08.1,brapin,graminoid,2021-06-16,1,1,1,0,0,0,0.10213660814566596,0.08896092172010844,0.24,0,0,0,359,425,294,6,4,12
