unique_plant_ID,species,functional_group,date_planting,survival_2021,survival_2022,survival_2023,flower_status_2021,flower_status_2022,flower_status_2023,biomass_comb_2021,biomass_comb_2022,biomass_comb_2023,number_seeds_2021,number_seeds_2022,number_seeds_2023,height_vegetative_str_2021,height_vegetative_str_2022,height_vegetative_str_2023,number_leaves_2021,number_leaves_2022,number_leaves_2023
CHE.lo.ambi.bare.wf.10.27.2,medlup,legume,2021-06-22,1,1,1,1,1,1,2.006430067728155,2.757776537547343,0.0718,684,4021.090909090909,269.45454545454544,270,229,56,214,268,22
CHE.lo.ambi.bare.wf.10.28.2,salpra,forb,2021-06-22,1,1,1,0,1,1,1.6659203572028742,5.801037191192451,10.38,0,797.0909090909091,1096,114,172,340,27,30,39
CHE.lo.ambi.bare.wf.10.29.2,plamed,forb,2021-06-22,1,1,1,0,1,1,0.6312779598924574,3.926892204065885,2.350548003740543,0,3520.222222222222,2640.1666666666665,48,83,71,11,14,10
CHE.lo.ambi.bare.wf.10.30.2,cenjac,forb,2021-06-22,1,1,1,0,1,1,0.3842413812632808,13.093416235015887,10.23,0,1310.3999999999999,873.6,146,429,449,14,219,163
CHE.lo.ambi.bare.wf.09.01.2,brapin,graminoid,2021-06-22,1,1,1,0,1,1,0.3090368351012554,2.5967042327830945,7.46,0,12.461538461538462,62.30769230769231,171,331,496,29,116,264
CHE.lo.ambi.bare.wf.09.02.2,daucar,forb,2021-06-22,1,1,0,0,1,NA,2.4551071018198303,3.1743183376544764,NA,0,2737.777777777778,NA,249,270,NA,15,14,NA
CHE.lo.ambi.bare.wf.09.03.3,broere,graminoid,2021-09-21,NA,1,1,NA,0,1,NA,0.2026580960503736,4.07,NA,0,51.57142857142857,NA,208,413,NA,15,146
CHE.lo.ambi.bare.wf.09.04.2,broere,graminoid,2021-06-24,1,1,1,0,0,0,0.18437923569230816,0.42850775722613504,6.92,0,0,0,245,190,311,12,30,156
CHE.lo.ambi.bare.wf.09.05.2,hypper,forb,2021-06-22,1,1,1,0,1,1,0.7600593185994491,28.91082572645019,4.65,0,55568,7248,180,508,386,207,2488,932
CHE.lo.ambi.bare.wf.09.06.3,scacol,forb,2021-07-05,1,1,1,0,1,1,0.2287594463299565,51.540073731865725,5.35,0,7429,860.2,64,1214,414,12,272,66
CHE.lo.ambi.bare.wf.09.07.2,broere,graminoid,2021-06-22,1,0,0,0,NA,NA,0.014293672971260343,NA,NA,0,NA,NA,254,NA,NA,2,NA,NA
CHE.lo.ambi.bare.wf.09.08.2,brapin,graminoid,2021-06-22,1,1,1,0,1,1,0.21092590340025297,2.559275970731334,14.98,0,12.461538461538462,760.1538461538462,131,354,360,24,94,146
CHE.lo.ambi.bare.wf.09.09.2,medlup,legume,2021-06-22,1,1,0,1,1,NA,0.2999003676813966,3.23796584467284,NA,62.18181818181818,4642.909090909091,NA,64,338,NA,81,238,NA
CHE.lo.ambi.bare.wf.09.10.2,plamed,forb,2021-06-22,1,1,1,1,1,0,1.1106344462812439,2.5701409336072243,0.1196,880.0555555555555,1760.111111111111,0,63,94,35,7,10,8
CHE.lo.ambi.bare.wf.09.11.1,silvul,forb,2021-06-16,1,1,1,0,1,1,0.5933903297121333,6.436189770592599,7.1,0,2896.133333333333,1597.8666666666666,79,318,403,108,346,118
CHE.lo.ambi.bare.wf.09.12.2,daucar,forb,2021-06-22,1,0,0,0,NA,NA,1.316578037155616,NA,NA,0,NA,NA,202,NA,NA,12,NA,NA
CHE.lo.ambi.bare.wf.09.13.2,daucar,forb,2021-06-22,1,0,0,0,NA,NA,2.777435194451132,NA,NA,0,NA,NA,196,NA,NA,18,NA,NA
CHE.lo.ambi.bare.wf.09.14.1,cenjac,forb,2021-06-16,1,1,1,1,1,1,0.8985492510722677,43.27873539611215,48.13,62.4,1934.3999999999999,2558.4,205,725,599,21,390,364
CHE.lo.ambi.bare.wf.09.15.2,hypper,forb,2021-06-22,1,1,1,0,1,0,1.0993947795352903,21.30428685873664,0.3637,0,36542,0,189,482,58,290,1944,270
CHE.lo.ambi.bare.wf.09.16.2,brapin,graminoid,2021-09-21,NA,1,1,NA,0,0,NA,0.027425198109851855,1.04,NA,0,0,NA,91,227,NA,7,57
CHE.lo.ambi.bare.wf.09.17.1,plamed,forb,2021-06-16,1,1,1,1,1,1,3.0932711985463777,0.43182669283883673,NA,3520.222222222222,880.0555555555555,880.0555555555555,70,61,NA,17,4,NA
CHE.lo.ambi.bare.wf.09.18.3,hypper,forb,2021-06-24,1,1,1,0,1,1,0.45314191673394494,8.877110963761469,1.87,0,15402,3473,166,290,186,142,1368,556
CHE.lo.ambi.bare.wf.09.19.2,salpra,forb,2021-06-22,1,1,1,0,1,1,1.7288314646056395,2.838988335110442,8.07,0,99.63636363636364,1394.909090909091,146,117,237,23,102,89
CHE.lo.ambi.bare.wf.09.20.1,silvul,forb,2021-06-16,1,1,1,1,1,1,1.8984059645814249,8.315780095246197,10.96,599.1999999999999,10186.4,1348.1999999999998,144,282,500,244,580,294
CHE.lo.ambi.bare.wf.09.21.1,medlup,legume,2021-06-16,1,1,1,1,1,1,1.4566995301880397,5.698437205606504,0.3186,621.8181818181818,6301.090909090909,145.0909090909091,173,224,80,131,556,42
CHE.lo.ambi.bare.wf.09.22.3,silvul,forb,2021-06-24,1,1,1,1,1,1,1.0049942206807796,6.050017931472855,3.12,149.79999999999998,5792.266666666666,699.0666666666666,111,264,252,172,470,146
CHE.lo.ambi.bare.wf.09.23.3,scacol,forb,2021-06-24,1,1,1,0,1,1,1.0082574437466154,28.21745839794308,8.46,0,5239.4000000000005,2111.4,96,792,281,26,157,54
CHE.lo.ambi.bare.wf.09.24.2,scacol,forb,2021-06-22,1,1,0,1,1,NA,NA,1.558833797117562,NA,NA,547.4,NA,56,261,NA,10,20,NA
CHE.lo.ambi.bare.wf.09.25.1,cenjac,forb,2021-06-16,1,1,1,1,1,1,6.184934357886106,51.48487779210339,32.11,249.6,4243.2,3494.4,470,553,478,84,632,513
CHE.lo.ambi.bare.wf.09.26.1,salpra,forb,2021-06-16,1,1,1,0,1,1,0.18879619667849157,3.0937616324797523,8.19,0,298.90909090909093,1394.909090909091,64,119,253,10,17,46
CHE.lo.ambi.bare.wf.09.27.1,medlup,legume,2021-06-16,1,1,1,1,1,1,0.34242867086433143,1.2244536853175165,0.3158,228,1824,103.63636363636363,73,194,29,47,153,49
CHE.lo.ambi.bare.wf.09.28.2,salpra,forb,2021-06-22,1,1,1,0,1,1,0.999989276974305,6.43514999154749,19.45,0,597.8181818181819,996.3636363636364,119,158,300,16,33,60
CHE.lo.ambi.bare.wf.09.29.2,plamed,forb,2021-06-22,1,1,0,1,1,NA,2.5173960894648753,9.315974263736038,NA,1760.111111111111,5280.333333333333,NA,71,113,NA,15,28,NA
CHE.lo.ambi.bare.wf.09.30.1,cenjac,forb,2021-06-16,1,1,1,0,1,1,0.4823575014954436,17.464707831605075,19.28,0,1310.3999999999999,1435.2,148,503,531,16,237,215
CHE.lo.ambi.bare.wf.02.01.1,brapin,graminoid,2021-06-16,1,0,0,0,NA,NA,0.08881992057396786,NA,NA,0,NA,NA,191,NA,NA,9,NA,NA
CHE.lo.ambi.bare.wf.02.02.2,daucar,forb,2021-06-21,1,1,1,0,0,1,0.516028960860762,0.12863984793633435,0.1508,0,0,1368.888888888889,153,95,86,8,7,6
CHE.lo.ambi.bare.wf.02.03.3,broere,graminoid,2021-09-21,NA,1,1,NA,NA,0,NA,NA,0.0142,NA,NA,1366.642857142857,NA,NA,68,NA,NA,4
CHE.lo.ambi.bare.wf.02.04.2,broere,graminoid,2021-06-21,1,1,1,0,1,1,0.11436676788877555,7.424852266221269,31.82,0,128.92857142857142,515.7142857142857,95,684,606,21,136,408
CHE.lo.ambi.bare.wf.02.05.2,hypper,forb,2021-06-21,1,1,1,0,1,0,0.7357573581759052,40.5388161214095,0.7036,0,66062.5,0,182,605,111,204,3450,456
CHE.lo.ambi.bare.wf.02.06.2,scacol,forb,2021-06-21,1,1,1,0,1,1,0.20337896529057622,31.85236559030843,38.24,0,6568.8,6177.8,67,614,420,13,194,167
CHE.lo.ambi.bare.wf.02.07.3,broere,graminoid,2021-07-05,1,1,1,0,1,1,0.15973665736953369,7.6915123493760635,29.18,0,154.71428571428572,515.7142857142857,120,526,489,22,152,432
CHE.lo.ambi.bare.wf.02.08.2,brapin,graminoid,2021-06-21,1,1,1,0,0,0,0.022873766502623277,0.9237472301685112,2.35,0,0,0,34,182,281,18,67,104
CHE.lo.ambi.bare.wf.02.09.2,medlup,legume,2021-06-21,1,1,1,1,1,NA,0.506695727867727,4.912051785584152,0.0039,248.72727272727272,6425.454545454545,NA,55,421,NA,75,350,NA
CHE.lo.ambi.bare.wf.02.10.2,plamed,forb,2021-06-21,1,1,1,1,1,1,2.929616016263009,3.681485910892658,1.3605,1760.111111111111,3520.222222222222,2640.1666666666665,74,103,63,14,10,10
CHE.lo.ambi.bare.wf.02.11.2,silvul,forb,2021-06-21,1,1,1,1,1,1,6.800926070949687,13.51533067017108,4.61,8838.199999999999,20372.8,249.66666666666666,186,485,299,656,612,250
CHE.lo.ambi.bare.wf.02.12.2,daucar,forb,2021-06-21,1,1,0,0,1,NA,1.6478470226215611,NA,NA,0,8897.777777777777,NA,186,179,NA,14,5,NA
CHE.lo.ambi.bare.wf.02.13.2,daucar,forb,2021-06-21,1,0,0,0,NA,NA,1.2979192969432698,NA,NA,0,NA,NA,180,NA,NA,12,NA,NA
CHE.lo.ambi.bare.wf.02.14.2,cenjac,forb,2021-06-21,1,1,1,1,1,1,0.8900659399048979,22.267652837133614,21.64,62.4,2121.6,1560,162,604,600,26,196,197
CHE.lo.ambi.bare.wf.02.15.2,hypper,forb,2021-06-21,1,1,1,0,1,1,0.5420446382823635,34.27185939743558,10.33,0,67648,36089,172,592,463,160,2548,1772
CHE.lo.ambi.bare.wf.02.16.2,brapin,graminoid,2021-06-21,1,1,1,0,1,1,0.20911367031897732,5.830871010253765,17.15,0,87.23076923076923,635.5384615384615,126,384,423,30,154,544
