unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,flower_status,biomass,height_vegetative_str,number_leaves
CHE.hi.warm.vege.wf.07.01.1,brapin,graminoid,2021-06-24,2021-06-24,CB,0,0.10726677550288038,236,8
CHE.hi.warm.vege.wf.07.02.1,daucar,forb,2021-06-24,2021-06-17,CB,0,0.3926511692510701,173,7
CHE.hi.warm.vege.wf.07.03.1,broere,graminoid,2021-06-24,2021-06-17,CB,0,0.04345339308206495,249,4
CHE.hi.warm.vege.wf.07.04.1,broere,graminoid,2021-06-24,2021-06-17,CB,0,0.05609409915457989,334,4
CHE.hi.warm.vege.wf.07.05.1,hypper,forb,2021-06-24,2021-06-17,CB,0,0.03287614042808401,46,22
CHE.hi.warm.vege.wf.07.06.1,scacol,forb,2021-06-24,2021-06-17,CB,0,0.12819919166486418,61,9
CHE.hi.warm.vege.wf.07.07.1,broere,graminoid,2021-06-24,2021-06-17,CB,0,0.06699570478325693,270,5
CHE.hi.warm.vege.wf.07.08.1,brapin,graminoid,2021-06-24,2021-06-24,CB,0,0.04186550470232055,134,6
CHE.hi.warm.vege.wf.07.09.1,medlup,legume,2021-06-24,2021-06-17,CB,0,0.012466523931553434,31,4
CHE.hi.warm.vege.wf.07.10.1,plamed,forb,2021-06-24,2021-06-17,CB,0,0.0610657443413545,51,4
CHE.hi.warm.vege.wf.07.11.1,silvul,forb,2021-06-24,2021-06-17,CB,0,0.0531855574229678,72,12
CHE.hi.warm.vege.wf.07.12.1,daucar,forb,2021-06-24,2021-06-17,CB,0,0.15216170145900854,131,5
CHE.hi.warm.vege.wf.07.13.1,daucar,forb,2021-06-24,2021-06-17,CB,0,0.053166821556921616,121,3
CHE.hi.warm.vege.wf.07.14.1,cenjac,forb,2021-06-24,2021-06-17,CB,0,0.09989720217982598,145,6
CHE.hi.warm.vege.wf.07.15.1,hypper,forb,2021-06-24,2021-06-17,CB,0,0.03818743758584293,48,24
CHE.hi.warm.vege.wf.07.16.1,brapin,graminoid,2021-06-24,2021-06-24,CB,0,0.04405197927210267,174,5
CHE.hi.warm.vege.wf.07.17.1,plamed,forb,2021-06-24,2021-06-17,CB,0,0.038850241575713415,36,5
CHE.hi.warm.vege.wf.07.18.1,hypper,forb,2021-06-24,2021-06-17,CB,0,0.03849390295491763,62,22
CHE.hi.warm.vege.wf.07.19.1,salpra,forb,2021-06-24,2021-06-24,CB,0,0.14602561111366358,45,10
CHE.hi.warm.vege.wf.07.20.1,silvul,forb,2021-06-24,2021-06-17,CB,0,0.12400780651276841,107,19
CHE.hi.warm.vege.wf.07.21.1,medlup,legume,2021-06-24,2021-06-17,CB,0,0.039926347670970135,79,6
CHE.hi.warm.vege.wf.07.22.1,silvul,forb,2021-06-24,2021-06-17,CB,0,0.10526123040602973,89,19
CHE.hi.warm.vege.wf.07.23.1,scacol,forb,2021-06-24,2021-06-17,CB,0,0.2210866820431713,91,8
CHE.hi.warm.vege.wf.07.24.1,scacol,forb,2021-06-24,2021-06-17,CB,0,0.1291469420005163,52,10
CHE.hi.warm.vege.wf.07.25.1,cenjac,forb,2021-06-24,2021-06-17,CB,0,0.09604937495639573,177,5
CHE.hi.warm.vege.wf.07.26.1,salpra,forb,2021-06-24,2021-06-24,CB,0,0.1034112311773551,46,8
CHE.hi.warm.vege.wf.07.27.1,medlup,legume,2021-06-24,2021-06-17,CB,0,0.04580611917788397,73,6
CHE.hi.warm.vege.wf.07.28.1,salpra,forb,2021-06-24,2021-06-24,CB,0,0.08453551030964655,34,10
CHE.hi.warm.vege.wf.07.29.1,plamed,forb,2021-06-24,2021-06-17,CB,0,0.02752959462244556,29,5
CHE.hi.warm.vege.wf.07.30.1,cenjac,forb,2021-06-24,2021-06-17,CB,0,0.1635489456377132,174,7
CHE.hi.ambi.bare.wf.07.01.1,brapin,graminoid,2021-06-23,2021-06-17,EI,0,0.06359158728040694,239,5
CHE.hi.ambi.bare.wf.07.02.1,daucar,forb,2021-06-23,2021-06-17,EI,0,23.388082550693987,145,105
CHE.hi.ambi.bare.wf.07.03.1,broere,graminoid,2021-06-23,2021-06-17,EI,0,0.05634602191770584,324,4
CHE.hi.ambi.bare.wf.07.04.1,broere,graminoid,2021-06-23,2021-06-17,EI,0,0.037626490876821427,216,4
CHE.hi.ambi.bare.wf.07.05.1,hypper,forb,2021-06-23,2021-06-17,EI,0,0.024055336809290905,51,16
CHE.hi.ambi.bare.wf.07.06.1,scacol,forb,2021-06-23,2021-06-17,EI,0,0.05061136850660465,39,8
CHE.hi.ambi.bare.wf.07.07.1,broere,graminoid,2021-06-23,2021-06-17,EI,0,0.052185298928092275,302,4
CHE.hi.ambi.bare.wf.07.08.1,brapin,graminoid,2021-06-23,2021-06-17,EI,0,0.05488586945309882,167,7
CHE.hi.ambi.bare.wf.07.09.1,medlup,legume,2021-06-23,2021-06-17,EI,0,0.06318374452955515,88,7
CHE.hi.ambi.bare.wf.07.10.1,plamed,forb,2021-06-23,2021-06-17,EI,0,0.01121742894662787,40,3
CHE.hi.ambi.bare.wf.07.11.1,silvul,forb,2021-06-23,2021-06-17,EI,0,0.047949295213367736,44,16
CHE.hi.ambi.bare.wf.07.12.1,daucar,forb,2021-06-23,2021-06-17,EI,0,0.10985707437152496,136,4
CHE.hi.ambi.bare.wf.07.13.1,daucar,forb,2021-06-23,2021-06-17,EI,0,0.16593120516960186,154,5
CHE.hi.ambi.bare.wf.07.14.1,cenjac,forb,2021-06-23,2021-06-17,EI,0,0.08014990073916772,116,6
