unique_plant_ID,species,functional_group,date_measurement,date_planting,collector,survival,flower_status,biomass_comb,number_seeds,height_vegetative_str,number_leaves,year
CHE.lo.ambi.bare.wf.02.02.2,daucar,forb,2021-08-16,2021-06-21,PS,1,0,0.516028960860762,0,153,8,2021
CHE.lo.ambi.bare.wf.02.03.3,broere,graminoid,NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,2021
CHE.lo.ambi.bare.wf.02.04.2,broere,graminoid,2021-08-16,2021-06-21,PS,1,0,0.11436676788877555,0,95,21,2021
CHE.lo.ambi.bare.wf.02.05.2,hypper,forb,2021-08-16,2021-06-21,PS,1,0,0.7357573581759052,0,182,204,2021
CHE.lo.ambi.bare.wf.02.06.2,scacol,forb,2021-08-16,2021-06-21,PS,1,0,0.20337896529057622,0,67,13,2021
CHE.lo.ambi.bare.wf.02.07.3,broere,graminoid,2021-08-16,2021-07-05,PS,1,0,0.15973665736953369,0,120,22,2021
CHE.lo.ambi.bare.wf.02.08.2,brapin,graminoid,2021-08-16,2021-06-21,PS,1,0,0.022873766502623277,0,34,18,2021
CHE.lo.ambi.bare.wf.02.09.2,medlup,legume,2021-08-16,2021-06-21,PS,1,1,0.506695727867727,248.72727272727272,55,75,2021
CHE.lo.ambi.bare.wf.02.10.2,plamed,forb,2021-08-16,2021-06-21,PS,1,1,2.929616016263009,1760.111111111111,74,14,2021
CHE.lo.ambi.bare.wf.02.11.2,silvul,forb,2021-08-16,2021-06-21,PS,1,1,6.800926070949687,8838.199999999999,186,656,2021
CHE.lo.ambi.bare.wf.02.12.2,daucar,forb,2021-08-16,2021-06-21,PS,1,0,1.6478470226215611,0,186,14,2021
CHE.lo.ambi.bare.wf.02.13.2,daucar,forb,2021-08-16,2021-06-21,PS,1,0,1.2979192969432698,0,180,12,2021
CHE.lo.ambi.bare.wf.02.14.2,cenjac,forb,2021-08-16,2021-06-21,PS,1,1,0.8900659399048979,62.4,162,26,2021
CHE.lo.ambi.bare.wf.02.15.2,hypper,forb,2021-08-16,2021-06-21,PS,1,0,0.5420446382823635,0,172,160,2021
CHE.lo.ambi.bare.wf.02.16.2,brapin,graminoid,2021-08-16,2021-06-21,PS,1,0,0.20911367031897732,0,126,30,2021
CHE.lo.ambi.bare.wf.02.17.2,plamed,forb,2021-08-16,2021-06-21,PS,1,1,1.6927282178916767,880.0555555555555,62,12,2021
CHE.lo.ambi.bare.wf.02.18.2,hypper,forb,2021-08-16,2021-06-21,PS,1,0,0.24678260183509693,0,112,101,2021
CHE.lo.ambi.bare.wf.02.19.1,salpra,forb,2021-08-16,2021-06-16,PS,1,0,0.48688268943829505,0,90,12,2021
CHE.lo.ambi.bare.wf.02.20.2,silvul,forb,2021-08-16,2021-06-21,PS,1,1,0.9649319426732944,249.66666666666666,166,78,2021
CHE.lo.ambi.bare.wf.02.21.2,medlup,legume,2021-08-16,2021-06-21,PS,1,1,1.5494727945378375,912,190,145,2021
CHE.lo.ambi.bare.wf.02.22.2,silvul,forb,2021-08-16,2021-06-21,PS,1,1,3.8127516808672626,6691.066666666667,140,376,2021
CHE.lo.ambi.bare.wf.02.23.2,scacol,forb,2021-08-16,2021-06-21,PS,1,0,0.7648790690690378,0,86,25,2021
CHE.lo.ambi.bare.wf.02.24.2,scacol,forb,2021-08-16,2021-06-21,PS,1,0,0.5549869408568964,0,64,27,2021
CHE.lo.ambi.bare.wf.02.25.2,cenjac,forb,2021-08-16,2021-06-21,PS,1,1,1.3002370006518433,62.4,266,31,2021
CHE.lo.ambi.bare.wf.02.26.2,salpra,forb,2021-08-16,2021-06-21,PS,1,0,0.8160488665735625,0,111,15,2021
CHE.lo.ambi.bare.wf.02.27.2,medlup,legume,2021-08-16,2021-06-21,PS,1,1,0.7532303035740979,186.54545454545453,83,97,2021
CHE.lo.ambi.bare.wf.02.28.1,salpra,forb,2021-08-16,2021-06-16,PS,1,0,0.35850002796429703,0,72,13,2021
CHE.lo.ambi.bare.wf.02.29.2,plamed,forb,2021-08-16,2021-06-21,PS,1,0,0.6860016858168624,0,59,11,2021
CHE.lo.ambi.bare.wf.02.30.2,cenjac,forb,2021-08-16,2021-06-21,PS,1,1,0.5098152084861839,62.4,136,22,2021
CHE.lo.ambi.bare.wf.03.01.2,brapin,graminoid,2021-08-16,2021-06-21,PS,1,0,0.025995518850089498,0,160,3,2021
CHE.lo.ambi.bare.wf.03.02.2,daucar,forb,2021-08-16,2021-06-21,PS,1,0,1.1429193244984088,0,180,11,2021
CHE.lo.ambi.bare.wf.03.03.2,broere,graminoid,2021-08-16,2021-06-21,PS,0,NA,NA,NA,NA,NA,2021
CHE.lo.ambi.bare.wf.03.04.3,broere,graminoid,NA,2021-09-21,NA,NA,NA,NA,NA,NA,NA,2021
CHE.lo.ambi.bare.wf.03.05.2,hypper,forb,2021-08-16,2021-06-21,PS,1,0,0.9016780781069071,0,194,242,2021
CHE.lo.ambi.bare.wf.03.06.2,scacol,forb,2021-08-16,2021-06-21,PS,1,0,0.20191894324141885,0,62,13,2021
CHE.lo.ambi.bare.wf.03.07.2,broere,graminoid,2021-08-16,2021-06-21,PS,1,0,0.007050145742840564,0,210,1,2021
CHE.lo.ambi.bare.wf.03.08.1,brapin,graminoid,2021-08-16,2021-06-16,PS,1,0,0.020095627611793364,0,145,3,2021
CHE.lo.ambi.bare.wf.03.09.1,medlup,legume,2021-08-16,2021-06-16,PS,1,1,0.327019987024451,41.45454545454545,134,59,2021
CHE.lo.ambi.bare.wf.03.10.2,plamed,forb,2021-08-16,2021-06-21,PS,1,1,1.4337793742261635,1760.111111111111,44,12,2021
CHE.lo.ambi.bare.wf.03.11.1,silvul,forb,2021-08-16,2021-06-16,PS,1,1,7.082586693101833,14181.066666666666,213,736,2021
CHE.lo.ambi.bare.wf.03.12.2,daucar,forb,2021-08-16,2021-06-24,PS,1,0,2.3388010130274597,0,181,19,2021
CHE.lo.ambi.bare.wf.03.13.1,daucar,forb,2021-08-16,2021-06-16,PS,1,0,1.7924834120548445,0,177,16,2021
